strategy_id,total_return,cagr,max_drawdown,sharpe,win_rate,quarters,filter,rank,top
"mf_val_qual2_t20",1359.0,22.0,32.7,1.03,71,55,"pl_ratio > 0 AND pl_ratio < 10 AND ev_ebit > 0 AND ev_ebit < 10 AND roe > 0.1 AND margem_liquida > 0.05 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"mf_val_qual_liq",2228.5,26.3,35.9,1.19,76,55,"pl_ratio > 0 AND pl_ratio < 5 AND ev_ebit > 0 AND ev_ebit < 5 AND roe > 0.1 AND margem_liquida > 0.1 AND liquidez_corrente > 1 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"mf_val_qual_liq_t20",2359.8,26.8,27.0,1.29,75,55,"pl_ratio > 0 AND pl_ratio < 5 AND ev_ebit > 0 AND ev_ebit < 5 AND roe > 0.1 AND margem_liquida > 0.1 AND liquidez_corrente > 1 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"mf_val_qual_liq_pl",1611.6,23.4,36.8,1.09,75,55,"pl_ratio > 0 AND pl_ratio < 5 AND ev_ebit > 0 AND ev_ebit < 5 AND roe > 0.1 AND margem_liquida > 0.1 AND liquidez_corrente > 1 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"mf_val_qual_liq_pl_t20",2623.2,27.7,25.7,1.33,73,55,"pl_ratio > 0 AND pl_ratio < 5 AND ev_ebit > 0 AND ev_ebit < 5 AND roe > 0.1 AND margem_liquida > 0.1 AND liquidez_corrente > 1 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"mf_kitchen_sink",1551.1,23.1,39.6,1.06,76,55,"pl_ratio > 0 AND pl_ratio < 8 AND ev_ebit > 0 AND ev_ebit < 8 AND roe > 0.1 AND margem_liquida > 0.05 AND liquidez_corrente > 1 AND divida_liquida_ebit < 3 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"mf_kitchen_sink_t20",1507.0,22.8,27.6,1.16,78,55,"pl_ratio > 0 AND pl_ratio < 8 AND ev_ebit > 0 AND ev_ebit < 8 AND roe > 0.1 AND margem_liquida > 0.05 AND liquidez_corrente > 1 AND divida_liquida_ebit < 3 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"mf_val_qual_pvp",1603.0,23.4,36.8,1.08,75,55,"pl_ratio > 0 AND pl_ratio < 5 AND ev_ebit > 0 AND ev_ebit < 5 AND roe > 0.1 AND margem_liquida > 0.1 AND pvp_ratio > 0 AND pvp_ratio < 2 AND avg_daily_liquidity > 1e6","pl_ratio ASC",10
"mf_val_qual_pvp_t20",2569.3,27.5,25.7,1.31,73,55,"pl_ratio > 0 AND pl_ratio < 5 AND ev_ebit > 0 AND ev_ebit < 5 AND roe > 0.1 AND margem_liquida > 0.1 AND pvp_ratio > 0 AND pvp_ratio < 2 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"mf_mb_ml_roe",1565.9,23.2,41.1,1.03,75,55,"pl_ratio > 0 AND pl_ratio < 10 AND ev_ebit > 0 AND ev_ebit < 10 AND margem_bruta > 0.3 AND margem_liquida > 0.1 AND roe > 0.1 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
